Student Roll Num,Type,10-01-21,R-10-01-21,09-01-21,R-9-01-21,08-01-21,R-8-01-21,07-01-21,R-7-01-21,06-01-21,R-6-01-21,05-01-21,R-5-01-21,04-01-21,R-4-01-21,03-01-21,R-3-01-21,01-01-21,R-01-01-21
22,STUDENT,Missed,10,Missed,9,Missed,9,Missed,5,Missed,5,Missed,7,Missed,6,Missed,7,,
23,WORKING,Missed,5,Missed,9,Missed,6,Missed,5,Missed,7,Missed,8,Missed,7,Missed,6,,
24,,Missed,8,Missed,9,Attended,10,Missed,7,Attended,5,Attended,9,Attended,9,Attended,5,,
25,,Attended,10,Attended,10,Attended,9,Attended,5,Attended,10,Attended,8,Attended,10,Attended,6,,
26,,Attended,8,Attended,7,Attended,6,Attended,7,Attended,7,Attended,5,Attended,8,Attended,9,,
27,,Attended,6,Attended,7,Attended,5,Attended,6,Attended,9,Attended,8,Attended,9,Attended,7,,
28,,Attended,5,Attended,8,Missed,6,Missed,8,Attended,9,Attended,7,Attended,6,Attended,7,,
29,WORKING,Attended,5,Attended,9,Attended,7,Missed,9,Missed,9,Attended,7,Missed,9,Attended,10,,
30,,Missed,6,Missed,10,Attended,6,Attended,9,Attended,7,Attended,7,Attended,7,Attended,8,,
31,,Attended,5,Attended,10,Attended,10,Attended,7,Attended,6,Attended,10,Attended,7,Attended,8,,
32,WORKING,Missed,10,Missed,7,Missed,8,Missed,9,Missed,8,Missed,6,Missed,5,Missed,7,,
33,,Attended,5,Attended,7,Missed,8,Attended,7,Attended,7,Attended,7,Attended,8,Attended,9,,
34,,Attended,8,Attended,9,Attended,7,Attended,10,Attended,6,Attended,9,Attended,9,Attended,9,,
35,DROPOUT,Missed,7,Missed,10,Missed,6,Missed,9,Missed,6,Missed,6,Missed,7,Missed,10,,
36,,Attended,6,Attended,7,Attended,7,Attended,7,Attended,8,Attended,5,Attended,7,Attended,10,,
37,,Attended,7,Attended,6,Attended,5,Attended,9,Attended,6,Attended,7,Attended,5,Attended,6,,
38,,Missed,7,Missed,6,Missed,7,Attended,7,Missed,9,Missed,9,Missed,10,Attended,6,,
39,STUDENT,Missed,10,Missed,9,Missed,10,Missed,9,Missed,10,Missed,7,Missed,6,Missed,10,,
40,WORKING,Missed,9,Attended,9,Missed,6,Attended,5,Attended,5,Attended,10,Attended,9,Attended,6,,
41,,Attended,6,Attended,9,Attended,10,Attended,5,Attended,5,Attended,5,Attended,5,Attended,6,,
42,,Attended,5,Attended,10,Missed,6,,8,,5,,9,,5,,5,,
43,,Missed,7,Missed,7,Missed,5,Missed,6,Missed,10,Missed,10,Missed,10,Missed,8,,
44,DROPOUT,Missed,9,Missed,6,Missed,9,Missed,5,Missed,7,Missed,7,Missed,8,Missed,8,,
45,,Attended,10,Attended,5,Attended,9,Attended,6,Attended,5,Attended,9,Attended,10,,7,,
46,,Attended,7,Attended,6,Attended,5,Attended,7,Attended,6,Attended,10,Attended,5,Attended,8,,
47,,Missed,5,Missed,9,Missed,9,Missed,7,Missed,9,Missed,9,Missed,10,Missed,9,,
48,WORKING,Missed,9,Missed,9,Missed,7,Missed,10,Missed,8,Missed,8,Missed,6,Missed,8,,
49,WORKING,Attended,8,Missed,9,Attended,10,Missed,8,Missed,8,Missed,5,Missed,6,Missed,9,,
50,,Attended,5,Attended,9,Attended,8,Attended,8,Attended,10,Attended,10,Attended,6,Attended,9,,
51,,Attended,5,Attended,6,Attended,7,Attended,9,Attended,7,Attended,9,Attended,10,Attended,6,,
52,WORKING,Missed,8,Missed,9,Missed,6,Missed,7,Missed,8,Missed,8,Missed,5,Missed,9,,
53,WORKING,Missed,6,Missed,5,Missed,7,Missed,10,Missed,7,Missed,7,Missed,6,Missed,10,,
54,,Attended,5,Attended,9,Attended,9,Attended,9,Attended,7,Attended,7,Attended,6,Attended,10,,
55,,Missed,7,Attended,9,Attended,9,Attended,5,Attended,6,Attended,7,Attended,10,Attended,9,,
56,STUDENT,Attended,5,Attended,6,Missed,9,Missed,8,Missed,8,Missed,5,Attended,7,Attended,5,,
57,WORKING,Missed,9,Attended,6,Attended,7,Attended,8,Missed,9,Missed,6,Attended,9,Missed,7,,
58,,Attended,6,Missed,7,Attended,6,Attended,10,Attended,10,Attended,8,Attended,9,Attended,8,,
59,,Attended,10,Attended,8,Attended,8,Missed,7,Attended,5,Attended,8,Attended,5,Attended,7,,
60,,Missed,7,Missed,10,Missed,10,Missed,8,Missed,10,Missed,8,Missed,8,Missed,9,,
61,,Attended,8,Attended,9,Attended,7,Attended,9,Attended,7,Attended,8,Attended,5,Attended,7,,
62,,Attended,5,Attended,5,Attended,7,Attended,5,Attended,6,Attended,6,Attended,8,Attended,9,,
63,WORKING,Missed,7,Attended,6,Missed,7,Missed,6,Attended,10,Attended,7,Attended,6,Attended,5,,
64,,Attended,9,Missed,5,Missed,5,Attended,7,Attended,7,Attended,8,Attended,8,Attended,10,,
65,,Attended,5,Missed,5,Attended,6,Attended,8,Attended,5,Attended,5,Attended,6,Attended,8,,
66,IGNORE,Missed,8,Missed,6,Missed,7,Missed,6,Missed,10,Missed,6,Missed,9,Missed,8,,
67,STUDENT,Missed,8,Missed,10,Missed,10,Missed,6,Missed,7,Missed,7,Missed,6,Missed,8,,
68,,Attended,9,Attended,5,Attended,5,Attended,10,Attended,9,Attended,9,Attended,9,Attended,10,,
69,,Attended,8,Attended,7,Attended,5,Attended,8,Attended,9,Attended,5,Attended,10,Attended,8,,
70,,Attended,5,Attended,9,Attended,7,Attended,5,Attended,5,Attended,5,Attended,7,Attended,5,,
